4563 マザーズ アンジェス(株)（医薬品）,,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
2018/1/4,617,628,617,622,937500,622
2018/1/5,624,625,615,620,1058800,620
2018/1/9,625,675,623,666,4620700,666
2018/1/10,666,676,657,667,1943600,667
2018/1/11,672,712,666,701,5640200,701
2018/1/12,693,704,672,687,3028300,687
2018/1/15,697,716,676,702,3322600,702
2018/1/16,702,704,680,684,2263200,684
2018/1/17,688,688,641,653,2874700,653
2018/1/18,653,659,638,639,2053500,639
2018/1/19,642,671,632,669,2490300,669
2018/1/22,661,769,659,769,2108100,769
2018/1/23,738,746,680,688,16540600,688
2018/1/24,675,696,662,666,4282000,666
2018/1/25,656,670,625,627,4983400,627
2018/1/26,628,636,612,623,3227300,623
2018/1/29,623,623,601,602,2379000,602
2018/1/30,607,610,588,595,2518500,595
2018/1/31,595,607,587,603,1967600,603
2018/2/1,600,615,596,611,1566500,611
2018/2/2,609,611,596,600,1142300,600
2018/2/5,580,595,576,582,1626400,582
2018/2/6,546,555,494,535,4000800,535
2018/2/7,550,557,520,525,2197400,525
2018/2/8,519,536,519,531,1432800,531
2018/2/9,483,518,480,514,1669100,514
2018/2/13,517,529,506,507,1072400,507
2018/2/14,506,511,479,489,1492300,489
2018/2/15,490,516,490,505,1060400,505
2018/2/16,504,528,504,526,817300,526
2018/2/19,522,536,521,527,746900,527
2018/2/20,530,531,522,525,617300,525
2018/2/21,522,524,509,512,961600,512
2018/2/22,513,513,504,509,486200,509
2018/2/23,516,518,503,516,591200,516
2018/2/26,531,545,520,544,1049400,544
2018/2/27,549,568,542,545,1875000,545
2018/2/28,535,546,531,541,620900,541
2018/3/1,536,539,521,531,723100,531
2018/3/2,515,532,515,526,596100,526
2018/3/5,528,529,500,504,783500,504
2018/3/6,513,527,510,526,517600,526
2018/3/7,520,525,511,514,506200,514
2018/3/8,522,523,512,521,454600,521
2018/3/9,538,538,519,522,607000,522
2018/3/12,524,527,511,515,682900,515
2018/3/13,518,531,515,531,611100,531
2018/3/14,534,543,527,536,579600,536
2018/3/15,562,577,540,555,3537000,555
2018/3/16,555,555,529,532,1034200,532
2018/3/19,523,531,513,527,686200,527
2018/3/20,514,526,513,522,453000,522
2018/3/22,521,526,518,522,462700,522
2018/3/23,510,514,503,503,784200,503
2018/3/26,499,509,487,507,824100,507
2018/3/27,507,515,501,509,590500,509
2018/3/28,503,512,503,505,436300,505
2018/3/29,511,522,511,514,634600,514
2018/3/30,520,526,514,525,749300,525
2018/4/2,525,533,511,513,903600,513
2018/4/3,511,515,505,513,465400,513
2018/4/4,515,516,507,507,384500,507
2018/4/5,510,524,506,524,745000,524
2018/4/6,544,548,510,516,2930700,516
2018/4/9,514,518,508,512,640700,512
2018/4/10,516,520,510,512,500200,512
2018/4/11,512,525,505,522,962900,522
2018/4/12,518,530,517,523,1025200,523
2018/4/13,520,523,511,517,763200,517
2018/4/16,515,518,508,510,623200,510
2018/4/17,505,512,490,503,891300,503
2018/4/18,505,511,499,511,563000,511
2018/4/19,510,511,502,504,488900,504
2018/4/20,502,508,500,503,463800,503
2018/4/23,502,504,498,504,583800,504
2018/4/24,500,507,494,500,1127100,500
2018/4/25,498,504,496,503,582100,503
2018/4/26,503,507,498,505,615000,505
2018/4/27,502,517,499,513,1155700,513
2018/5/1,530,530,507,508,1120300,508
2018/5/2,512,522,509,515,1040700,515
2018/5/7,516,518,510,517,480400,517
2018/5/8,519,525,512,518,738600,518
2018/5/9,515,520,512,518,689900,518
2018/5/10,515,522,514,519,545300,519
2018/5/11,518,522,513,520,579900,520
2018/5/14,518,520,514,517,563800,517
2018/5/15,516,516,506,506,487300,506
2018/5/16,503,508,501,501,420800,501
2018/5/17,503,513,499,509,738300,509
2018/5/18,505,509,502,505,458800,505
2018/5/21,505,513,500,511,818600,511
2018/5/22,510,511,503,506,296400,506
2018/5/23,505,505,500,503,659300,503
2018/5/24,502,503,497,499,695500,499
2018/5/25,498,500,489,489,797200,489
2018/5/28,485,492,449,450,2211100,450
2018/5/29,448,455,415,422,2372600,422
2018/5/30,416,425,405,414,2007100,414
2018/5/31,417,437,417,430,1443300,430
2018/6/1,429,431,417,418,1006900,418
2018/6/4,416,417,393,404,1577900,404
2018/6/5,399,403,380,384,1516000,384
2018/6/6,380,398,373,393,1267100,393
2018/6/7,401,424,400,419,1567900,419
2018/6/8,417,428,415,419,984900,419
2018/6/11,419,421,404,409,791300,409
2018/6/12,407,419,406,419,577600,419
2018/6/13,414,421,414,414,408100,414
2018/6/14,412,414,405,406,512900,406
2018/6/15,404,410,402,403,450500,403
2018/6/18,403,404,393,397,618000,397
2018/6/19,397,400,386,393,696200,393
2018/6/20,389,396,376,395,744500,395
2018/6/21,389,396,386,386,433000,386
2018/6/22,383,384,371,373,740600,373
2018/6/25,367,370,342,346,1317100,346
2018/6/26,338,353,334,350,984600,350
2018/6/27,345,351,341,343,519800,343
2018/6/28,344,423,334,420,5468200,420
2018/6/29,400,444,375,426,5635900,426
2018/7/2,455,458,431,449,4378300,449
2018/7/3,441,450,430,440,1654000,440
2018/7/4,433,435,399,411,1978000,411
2018/7/5,407,413,400,403,1198900,403
2018/7/6,402,421,402,418,1182600,418
2018/7/9,418,425,408,415,629800,415
2018/7/10,411,416,404,405,852500,405
2018/7/11,400,400,384,397,1035700,397
2018/7/12,389,399,388,393,454300,393
2018/7/13,393,401,391,393,648700,393
2018/7/17,395,403,384,388,1068700,388
2018/7/18,386,395,383,387,657400,387
2018/7/19,386,388,370,371,961900,371
2018/7/20,370,375,366,370,929700,370
2018/7/23,365,366,360,360,776000,360
2018/7/24,356,366,355,362,904500,362
2018/7/25,361,385,361,367,1307500,367
2018/7/26,368,378,363,371,953400,371
2018/7/27,365,371,365,367,470500,367
2018/7/30,368,368,361,363,659100,363
2018/7/31,374,383,362,362,2743500,362
2018/8/1,356,359,350,352,1018500,352
2018/8/2,353,363,352,362,463900,362
2018/8/3,366,374,360,361,656000,361
2018/8/6,365,366,357,359,501500,359
2018/8/7,362,365,351,355,854400,355
2018/8/8,355,361,353,355,647800,355
2018/8/9,351,355,348,354,473500,354
2018/8/10,353,357,347,347,442700,347
2018/8/13,345,345,325,329,1056700,329
2018/8/14,329,409,329,408,9853700,408
2018/8/15,420,456,395,406,14861000,406
2018/8/16,398,413,381,401,3791400,401
2018/8/17,397,410,391,395,2186100,395
2018/8/20,392,395,369,371,1640500,371
2018/8/21,366,377,352,360,2149400,360
2018/8/22,392,440,388,440,8583200,440
2018/8/23,445,467,426,445,10938300,445
2018/8/24,445,446,432,438,1809000,438
2018/8/27,439,486,439,469,4897600,469
2018/8/28,451,528,451,512,8871600,512
2018/8/29,512,524,492,513,3740400,513
2018/8/30,516,518,498,498,1917500,498
2018/8/31,489,520,487,519,2620900,519
2018/9/3,516,539,510,527,4003100,527
2018/9/4,527,536,520,523,1867000,523
2018/9/5,521,528,502,504,2356400,504
2018/9/6,498,512,477,501,2310300,501
2018/9/7,495,506,486,499,1237500,499
2018/9/10,495,501,471,472,1648400,472
2018/9/11,472,484,458,476,1700700,476
2018/9/12,468,476,454,454,1150900,454
2018/9/13,452,460,436,436,1616300,436
2018/9/14,444,459,437,455,1137200,455
2018/9/18,462,470,451,463,881800,463
2018/9/19,456,467,453,464,771800,464
2018/9/20,468,544,464,544,6905000,544
2018/9/21,544,599,533,590,11533900,590
2018/9/25,599,626,592,608,5571900,608
2018/9/26,508,554,508,526,12682800,526
2018/9/27,523,553,522,545,4310100,545
2018/9/28,576,588,556,566,4023100,566
2018/10/1,560,563,534,543,2159100,543
2018/10/2,560,561,518,519,3092200,519
2018/10/3,519,545,501,543,3445300,543
2018/10/4,548,554,526,529,1979700,529
2018/10/5,521,530,515,524,1559800,524
2018/10/9,516,518,501,502,1772400,502
2018/10/10,501,502,457,466,3800900,466
2018/10/11,440,469,434,440,2822200,440
2018/10/12,436,506,435,496,4675400,496
2018/10/15,488,529,484,498,3249500,498
2018/10/16,500,514,478,498,2405100,498
2018/10/17,506,512,493,500,1686400,500
2018/10/18,498,515,490,514,1698900,514
2018/10/19,520,535,497,505,3807400,505
2018/10/22,493,498,481,481,1774400,481
2018/10/23,478,483,461,471,1887700,471
2018/10/24,470,479,462,469,1242000,469
2018/10/25,441,453,425,440,2623600,440
2018/10/26,445,451,405,417,2498200,417
2018/10/29,420,426,394,397,1956100,397
2018/10/30,399,418,390,413,2552800,413
2018/10/31,411,423,405,421,1336200,421
2018/11/1,413,426,411,420,1121400,420
2018/11/2,425,433,418,427,1484500,427
2018/11/5,425,447,423,432,2058400,432
2018/11/6,434,441,424,428,1003100,428
2018/11/7,428,435,423,432,1217200,432
2018/11/8,437,442,431,432,1234200,432
2018/11/9,431,434,425,426,1080200,426
2018/11/12,423,424,400,406,1212400,406
2018/11/13,395,436,394,429,2107000,429
2018/11/14,453,468,421,435,6028000,435
2018/11/15,483,486,447,454,8136200,454
2018/11/16,456,465,443,446,2506300,446
2018/11/19,441,459,429,455,2004700,455
2018/11/20,452,485,452,461,3356900,461
2018/11/21,450,469,448,453,1626100,453
2018/11/22,451,457,441,456,1387300,456
2018/11/26,460,461,443,444,1281600,444
2018/11/27,444,454,440,441,1020000,441
2018/11/28,441,448,435,443,1063200,443
2018/11/29,443,452,440,447,1112300,447
2018/11/30,448,449,437,440,920100,440
2018/12/3,442,446,438,441,998000,441
2018/12/4,444,451,423,428,1703800,428
2018/12/5,412,430,412,427,1045600,427
2018/12/6,430,430,407,411,1264600,411
2018/12/7,412,420,402,405,1074300,405
2018/12/10,400,404,393,393,1027200,393
2018/12/11,394,400,382,383,1194500,383
2018/12/12,384,391,378,385,1621300,385
2018/12/13,384,397,383,397,1247200,397
2018/12/14,413,414,391,400,1443200,400
2018/12/17,394,404,391,395,897000,395
2018/12/18,383,395,383,387,1050300,387
2018/12/19,388,398,379,385,897700,385
2018/12/20,385,387,352,354,2018400,354
2018/12/21,349,353,328,337,2110000,337
2018/12/25,305,322,303,305,3052200,305
2018/12/26,306,322,306,314,2293100,314
2018/12/27,330,368,329,359,2985500,359
2018/12/28,358,388,357,363,2392800,363
2019/1/4,353,439,347,436,2914500,436
2019/1/7,460,479,433,438,4124400,438
2019/1/8,441,469,439,468,3061200,468
2019/1/9,466,479,459,473,2936000,473
2019/1/10,465,473,461,467,1675300,467
2019/1/11,467,530,464,513,6677100,513
2019/1/15,509,522,496,513,3323500,513
2019/1/16,523,527,510,519,2866000,519
2019/1/17,523,526,514,518,1542700,518
2019/1/18,511,515,498,509,1987300,509
2019/1/21,531,544,513,527,4021500,527
2019/1/22,519,527,500,502,2197800,502
2019/1/23,490,521,483,509,1889900,509
2019/1/24,510,537,510,533,2266100,533
2019/1/25,531,547,525,540,2320900,540
2019/1/28,526,537,491,504,3243300,504
2019/1/29,499,509,489,505,1275100,505
2019/1/30,471,479,431,449,4426700,449
2019/1/31,469,484,460,472,2146800,472
2019/2/1,466,469,456,461,1169800,461
2019/2/4,453,495,452,487,1613200,487
2019/2/5,495,497,474,475,1278600,475
2019/2/6,483,555,483,555,7178900,555
2019/2/7,584,643,559,627,26211200,627
2019/2/8,610,633,586,607,9020600,607
2019/2/12,623,650,605,632,6192800,632
2019/2/13,700,731,650,656,14590200,656
2019/2/14,650,676,628,640,6586800,640
2019/2/15,633,664,611,659,5548000,659
2019/2/18,676,720,668,713,8699500,713
2019/2/19,716,730,662,670,10700100,670
2019/2/20,650,674,612,635,8681500,635
2019/2/21,735,735,735,735,421300,735
2019/2/22,885,885,840,885,36699500,885
2019/2/25,900,1035,891,1035,38680100,1035
2019/2/26,1250,1320,1111,1190,58406100,1190
2019/2/27,1100,1184,1067,1130,28190500,1130
2019/2/28,1118,1168,926,980,34400600,980
2019/3/1,1020,1047,961,1015,19930400,1015
2019/3/4,1038,1041,991,1010,10044200,1010
2019/3/5,998,1062,985,1052,14008200,1052
2019/3/6,1100,1107,1027,1052,20797300,1052
2019/3/7,1041,1059,1001,1020,7295100,1020
2019/3/8,994,1066,993,1041,12298800,1041
2019/3/11,1053,1097,1011,1091,10849300,1091
2019/3/12,1120,1250,1092,1145,33855900,1145
